TítuloCurso,Precio,Duración,Autor,Calificación
Java Programming,£10,15.2 hours,Next Learn Academy,2
SQL Programming: The SQL Database Programming Essential Training 2022,£10,3.5 hours ,Ahmed Ibrahim,3
Programming,£10,7 hours   ,Course Cloud,4
C# Programming: The C# Coding Essential Training in 2022,£10,3.9 hours ,Ahmed Ibrahim,1
SQL Programming,£10,2 hours   ,Suprio Dutta,4
Python Programming: Building Real Apps with Python Programming 2022,£10,3.5 hours ,Ahmed Ibrahim,3
C# Programming with Ado.net,£10,2.6 hours ,Suprio Dutta,1
C# Programming-Beginners To Advanced,£10,5.1 hours ,Suprio Dutta,0
Python Programming Certification Training,£11,29.4 hours,Uplatz,2
Python Programming for Beginners | Python Ultimate Bootcamp 2022,£10,6 hours   ,Ahmed Ibrahim,0
F# Programming,£71,5 hours   ,Ed-Next (Consult +),5
Java Programming Training Courses,£19,3.4 hours ,EduOlc Team,1
Coding (Computer Programming),£53,97 hours  ,Apex Learning,4
SAS Programming,£10,12 hours  ,Course Cloud,5
Python Programming Course,£140,8.3 hours ,Upskillist,1
PLC Programming,£13,7 hours   ,Course Cloud,1
JavaScript Programming for Beginners,£19,2.3 hours ,Zenva Academy,4
GUI Programming in Python using Tkinter Certification Training,£11,25.3 hours,Uplatz,0
C++ Programming Course,£35,10 hours  ,Ed-Next (Consult +),4
Java Programming ,£150,3.4 hours ,Numoni,1
3D Programming Crash Course ,£89,1.2 hours ,Sonar Systems,5
PLC Programming,£10,7 hours   ,Janets,1
R Programming,£59,4.9 hours ,Earn & Excel,5
Data Science: Python Programming for Data Analysis 2022 Complete Bootcamp,£10,6.3 hours ,Ahmed Ibrahim,4
Programming in Android,£200,30 hours  ,IT Academy,4
Python Programming,£59,4.7 hours ,Earn & Excel,3
Python Programming From A-Z: Beginner To Expert Course,£11.99,15.5 hours,Lunes Online Learning,2
Ruby Programming Training,£71,32 hours  ,Ed-Next (Consult +),1
Scala Programming,£71,9 hours   ,Ed-Next (Consult +),4
Python Programming for Beginners,£19,2.8 hours ,Zenva Academy,4
F# Programming Training Course,£99,4 hours   ,EduCBA,4
SAS Programming,£10,12 hours  ,Amaar School,3
C# Programming,£15,5 hours   ,The Teachers Training,0
Java Programming,£10,4 hours   ,Amaar School,3
Assembly Programming,£10,2 hours   ,Amaar School,0
Dart Programming,£10,4 hours   ,Amaar School,4
Python Programming,£21.76,8 hours   ,Simpliv LLC,0
Mind Programming,£10,1 hour    ,Amaar School,0
C++ Programming Course,£99,          ,EduCBA,5
Coding (Computer Programming),£100,102 hours ,StudyHub,4
R Programming Certification Training,£11,20.8 hours,Uplatz,5
Julia Programming,£10,4 hours   ,Janets,3
Java Programming,"£2,100",5 days · F,Verhoef Training Ltd,4
Java Programming,"£2,100",5 days · F,Verhoef Training Ltd,1
Python Programming,£10,6 hours   ,Janets,5
Python Programming,£10,6 hours   ,Janets,2
C Programming Course,£99,          ,EduCBA,1
Data Science: The R Programming For Data Science Complete Bootcamp 2022,£10,5.1 hours ,Ahmed Ibrahim,5
Scala Programming,£99,          ,EduCBA,2
Python Programming,£21.77,18 hours  ,Simpliv LLC,0
Python Programming,£21.77,18 hours  ,Simpliv LLC,3
Java Programming Course,£129,14 hours  ,Course Correct Limited,2
C Programming Course,£35,10 hours  ,Ed-Next (Consult +),1
Introduction To Programming,£29,          ,Skill Success,3
Julia Programming,£10,4 hours   ,One Education,3
AutoLISP Programming,£10,7 hours   ,One Education,3
Scala Programming,£99,          ,EduCBA,0
PLC Programming,£100,101 hours ,StudyHub,1
Java Programming,£10,9 hours   ,Janets,4
Java Programming,£99,1 year    ,"",4
AutoCAD Programming,£29,32 hours  ,Course Cloud,4
Java Programming Course,£39,12 months ,Study247,4
Programming Fundamentals,£119,15 hours  ,eTrain,0
Python Programming,£21.76,23 hours  ,Simpliv LLC,0
Python Programming,£21.76,20 hours  ,Simpliv LLC,3
Python Programming,£21.77,9 hours   ,Simpliv LLC,3
Scheme Programming,£99,          ,EduCBA,4
Scheme Programming,£99,          ,EduCBA,0
Python Programming,£21.76,40 hours  ,Simpliv LLC,3
Python Programming,£21.76,22 hours  ,Simpliv LLC,3
Python Programming,£10,16 hours  ,Course Central,0
Programming for Beginners,£55,30 hours  ,Course Cloud,1
